simple_prompt,step_by_step_prompt,pseudo_prompt,abstracts
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""fresh leafy vegetable products"": [""Salmonella spp."", ""Listeria monocytogenes"", ""Escherichia coli O157:H7"", ""thermotolerant Campylobacter"", ""Yersinia enterocolitica"", ""norovirus""],
    ""ready-to-eat vegetable products"": [""Salmonella spp."", ""Listeria monocytogenes"", ""Escherichia coli O157:H7"", ""thermotolerant Campylobacter"", ""Yersinia enterocolitica"", ""norovirus""]
}
```
Note: The dictionary only includes the chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods.</s>","Chemicals: None
Foods: Fresh leafy vegetable products, ready-to-eat vegetable products
Dictionary: {}</s>","{'Fresh leafy vegetables': ['Salmonella spp.', 'Listeria monocytogenes', 'Escherichia coli O157:H7', 'Thermotolerant Campylobacter', 'Yersinia enterocolitica', 'Norovirus']}</s>","The presence of foodborne pathogens (Salmonella spp. , Listeria monocytogenes, Escherichia coli O157:H7, thermotolerant Campylobacter, Yersinia enterocolitica and norovirus) in fresh leafy (FL) and ready-to-eat (RTE) vegetable products, sampled at random on the Italian market, was investigated to evaluate the level of risk to consumers. Nine regional laboratories, representing 18 of the 20 regions of Italy and in which 97.7% of the country's population resides, were involved in this study. All laboratories used the same sampling procedures and analytical methods. The vegetable samples were screened using validated real-time PCR (RT-PCR) methods and standardized reference ISO culturing methods. The results show that 3.7% of 1372 fresh leafy vegetable products and 1.8% of 1160 ""fresh-cut"" or ""ready-to-eat"" (RTE) vegetable retailed in supermarkets or farm markets, were contaminated with one or more foodborne pathogens harmful to human health."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""freshwater fish"": [""PCBs""],
    ""leafy vegetables"": [""PCBs""],
    ""bighead carp"": [""PCBs""],
    ""oriental weather fish"": [""PCBs""],
    ""spinach"": [""PCBs""],
    ""cabbage"": [""PCBs""]
}
```
Note: The dictionary only includes the foods and chemicals that are mentioned in the text provided.</s>","Chemicals: PCBs, TEQ
Foods: freshwater fish (bighead carp and oriental weather fish), leafy vegetables (spinach and cabbage)
Dictionary: {
    'freshwater fish': ['PCBs'],
    'leafy vegetables': ['PCBs'],
    'spinach': ['PCBs'],
    'cabbage': ['PCBs']
}</s>","{'Freshwater fish': ['PCBs'], 'Oriental weather fish': ['PCBs'], 'Spinach': ['PCBs'], 'Cabbage': ['PCBs']}</s>","Bioaccessibility of organic pollutants in food is important for exposure estimation and risk assessment. An in vitro enzyme digestion experiment was carried out to analyze the bioaccessibility of PCBs in different foods including freshwater fish (bighead carp and oriental weather fish) and vegetables (spinach and cabbage). The results indicated that the bioaccessibility of PCBs in freshwater fish (3%) was much lower than that in leafy vegetables (25%). Based on field survey, the daily exposure TEQ value from these two types of food was 17.9 pg/kg bw/day. However, when bioaccessibility was taken into consideration, the value decreased to 0.61 pg/kg bw/day. Therefore, the forms of PCBs existing in food strongly influenced the bioavailability for humans, which may have important implications on dietary exposure. To our knowledge, this is the first paper to illustrate the bioaccessibility of PCBs in different foods using an in vitro digestion method."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""fruits"": {
        ""pesticides"": ""contaminant""
    },
    ""leafy vegetables"": {
        ""pesticides"": ""contaminant"",
        ""DART-MS"": ""differentiate organic from conventional"",
        ""single quadrupole mass spectrometer"": ""differentiate organic from conventional""
    },
    ""vegetables"": {
        ""ICP-MS"": ""differentiate conventional from organic"",
        ""certification of vegetables"": ""paved the way for the certification of vegetables as being organically produced""
    }
}
```</s>","Chemicals: ['pesticides', 'plant protection treatments', 'DART-MS', 'ICP-MS']
Foods: ['leeks', 'conventional leeks', 'organic leeks']
Dictionary: {
    'leeks': ['pesticides', 'plant protection treatments']
}</s>","{'fruits': ['pesticides'], 'leafy vegetables': ['pesticides'], 'conventional leeks': ['organic'], 'organic leeks': ['conventional']}</s>","Health conscious and environmentally aware consumers are purchasing more organically produced foods. They prefer organic fruits and leafy vegetables as these are much less likely to have been exposed to contaminants such as pesticides. The detection of fraudulent activity in this area is difficult to undertake, because many chemical plant protection treatments degrade very quickly or can be washed off to remove evidence of their existence. It was found that when combining DART-MS with a compact, inexpensive and robust single quadrupole mass spectrometer, it was possible to differentiate organic from conventional leeks with 93.8% to 100% accuracy. ICP-MS results showed similar performance, with an ability to differentiate conventional from organic leeks with 92.5% to 98.1% accuracy. This study has paved the way for the certification of vegetables as being organically produced. The next step is to create data libraries to support the roll out of the methodologies described."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""Chinese cabbage"": {
        ""lufenuron"": ""residues"",
        ""pesticide"": ""residues""
    }
}
```

Note: The dictionary only includes the chemicals that are mentioned to be a hazard, contaminant, or have the potential to pose risk for human health via consumption of the foods. The dictionary does not include any irrelevant noun phrases or sentences in values.</s>","Chemicals: lufenuron
Foods: Chinese cabbage
Dictionary: {
    ""Chinese cabbage"": {
        ""lufenuron"": ""hazardous""
    }
}</s>",{'Chinese cabbage': ['lufenuron']}</s>,"Chinese cabbage has long been consumed as a staple food by the Koreans in various forms of fresh, salted, or fermented as kimchi. To fulfill the off-season demand for this crop, it has become a common practice to be cultivated under greenhouse conditions. Since pesticide residues in/on leafy vegetables have strongly concerned with food safety in the Korean society, the changes of lufenuron residues, in/on Chinese cabbage applied by foliar spraying under greenhouse conditions was investigated. Lufenuron 5% emulsifiable concentrate (EC) was sprayed with diluted solution of recommended and double doses to the crop. The shoots of the cabbage were harvested immediately after spraying, and sequentially the harvests were conveyed to analyze the residual amounts. The deposited level of the analyte in/on Chinese cabbage under greenhouse conditions seemed to be difficult to produce the crop with 0.2 ppm of maximum residue limit (MRL) of the Korea Food and Drug Administration (KFDA)."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, contaminant, or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""lettuce"": [""pyrethroids"", ""organochlorine pesticides""],
    ""cabbage"": [""pyrethroids"", ""organochlorine pesticides"", ""organophosphorus pesticides""],
    ""spinach"": [""pyrethroids"", ""organochlorine pesticides""],
    ""mustard"": [""pyrethroids"", ""organochlorine pesticides""],
    ""celery"": [""pyrethroids"", ""organochlorine pesticides""],
    ""cauliflower"": [""pyrethroids"", ""organochlorine pesticides"", ""organophosphorus pesticides""],
    ""lettuce"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""broccoli"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""cabbage"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""spinach"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""mustard"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""celery"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""cauliflower"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""lettuce"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""broccoli"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""cabbage"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""spinach"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""mustard"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""celery"": [""pyrethroids"", ""organophosphorus pesticides""],
    ""cauliflower"":","Chemicals: [('OCPs', 'organochlorine pesticides'), ('OPPs', 'organophosphorus pesticides'), ('PYRs', 'pyrethroid pesticides')]
Foods: ['lettuce', 'spinach', 'celery', 'cauliflower', 'lettuce', 'broccoli', 'cabbage']
Dictionary: {
    'lettuce': ['OCPs'],
    'spinach': ['OCPs', 'OPPs'],
    'celery': ['OCPs', 'OPPs', 'PYRs'],
    'cauliflower': ['OCPs', 'OPPs', 'PYRs'],
    'lettuce': ['OPPs', 'PYRs'],
    'broccoli': ['OPPs', 'PYRs'],
    'cabbage': ['OPPs', 'PYRs', 'OCPs']
}</s>","{'lettuce': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'spinach': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'celery': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'cauliflower': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'lettuce': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'broccoli': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides'],
 'cabbage': ['pyrethroids', 'organophosphorus pesticides', 'organochlorine pesticides']}</s>","Gas chromatography-electron capture detection (GC-ECD) method has been developed to determine the residues of pyrethroid (PYRs), organophosphorus (OPPs) and organochlorine (OCPs) pesticide in 97 leafy vegetable samples collected from Cameron Highlands, Malaysia. The mean residual concentration of PYRs, OPPs and OCPs ranged from 0.04–17, 0.03–44.4 and 0.03–100 μg kg –1 respectively. The sum of pesticides concentration increased in the order mustard < spinach < celery < cauliflower < lettuce < broccoli < cabbage. The results revealed that levels of maximum residue limit (MRL) for OCPs were violated by lettuce (7.7%), for OPPs, it exceeded mostly in cabbage (24.8%) and for PYRs only one cabbage sample exceeded the MRL. Health risk estimation revealed that hazard quotients (HQs) for OCPs, OPPs and PYRs were <1.0, showing less risk to consumers. However, the hazard indices (HIs) for OPPs were >1.0 for children (1.4) and for adults (0.4) which signify the potential health risk to consumers."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{'vegetables': ['Cd', 'Pb']}
```

The dictionary contains one key-value pair where the key is 'vegetables' and the value is a list containing the chemical names 'Cd' and 'Pb'. These chemicals are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of vegetables.</s>","Chemicals: cadmium (Cd), lead (Pb)
Foods: vegetables, human hair
Dictionary: {
    'vegetables': ['Cd', 'Pb'],
    'human hair': ['Cd', 'Pb']
}</s>","{'Vegetables': ['Cd', 'Pb']}</s>","Atmospheric deposition of cadmium (Cd) and lead (Pb) was investigated together with the accumulation, distribution and health risks from potentially toxic metals in soils, vegetables and human hair at a mining area in southwest China. Annual atmospheric deposition of Cd and Pb were 41.1 and 192 g ha- 1, respectively, and consisted mainly of dry deposition. Agricultural soils experienced high levels of metal pollution around the mine, with 66.4% and 57.3 % of vegetable samples grown on these polluted fields exceeding maximum permissible Cd and Pb concentrations, particularly the leafy vegetables. Residents living near the mining area had high Cd (0.75 mg kg- 1) and Pb (6.87 mg kg- 1) concentrations in their hair, and the maximum values occurred in occupationally exposed individuals. Long-term mining activities have resulted in high health risks to the local population due to Cd and Pb deposition and accumulation from the atmosphere, soils and vegetables."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{'Spinach': {'Chromium': 'potentially toxic element', 'Lead': 'potentially toxic element'},
 'Kale': {'Chromium': 'potentially toxic element', 'Lead': 'potentially toxic element'},
 'Collard Greens': {'Chromium': 'potentially toxic element', 'Lead': 'potentially toxic element'},
 'Gynandropsis gynandra L.': {'Chromium': 'potentially toxic element', 'Lead': 'potentially toxic element'},
 'Soil': {'Chromium': 'potentially toxic element', 'Lead': 'potentially toxic element'}}
```

Note: The dictionary only includes the foods and chemicals that are mentioned in the text provided.</s>","Chemicals: ['chromium', 'lead', 'potentially toxic elements']
Foods: ['Gynandropsis gynandra L.', 'leafy vegetables', 'tropical leafy vegetables']
Dictionary: {
'Gynandropsis gynandra L.': {'chromium': 1, 'lead': 1, 'potentially toxic elements': 1},
'leafy vegetables': {'chromium': 1, 'lead': 1, 'potentially toxic elements': 1},
'tropical leafy vegetables': {'chromium': 1, 'lead': 1, 'potentially toxic elements': 1}
}</s>","{'Gynandropsis gynandra L.': ['Pb', 'Cr']}</s>","Concentrations of potentially toxic elements were measured in soils and five contrasting tropical leafy vegetables grown in a replicated field trial at five contaminated urban agriculture sites in Kampala City, Uganda. Soil contamination at each site could be tentatively ascribed to known waste disposal practices. There was considerable variation in metal uptake between vegetable types. Washing leafy vegetables reduced chromium and lead concentrations but exogenous contamination of leaves also depended on vegetable type, with Gynandropsis gynandra L. showing a marked tendency to accumulate Pb and Cr. For the worst case scenario of children consuming unwashed vegetables, some metal 'hazard quotient' (HQ) limits (1.0) were violated at four of the five sites studied. For the 25 'site-vegetable' combinations assessed, the HQ for Pb exceeded 1.0 in 36% of cases. A vegetable-specific site screening tool based on soil extraction with 0.01 M CaCl(2) and extrapolation to provide HQ values was assessed."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{'Kale': {'Arsenic': 'inorganic arsenic', 'Chromium': 'inorganic chromium'},
 'Lettuce': {'Arsenic': 'inorganic arsenic', 'Chromium': 'inorganic chromium'},
 'Carrots': {'Arsenic': 'inorganic arsenic', 'Chromium': 'inorganic chromium'},
 'Potatoes': {'Arsenic': 'inorganic arsenic', 'Chromium': 'inorganic chromium'}}
```
Note: The dictionary only includes the chemicals that are mentioned to be a contaminant, hazard or have the potential to pose risk for human health via consumption of the foods.</s>","Chemicals: arsenate, arsenite, chromium
Foods: kale, lettuce, carrots, potatoes
Dictionary: {kale: ['arsenite'], lettuce: ['arsenite'], carrots: ['arsenite'], potatoes: ['arsenite']}</s>","{'Kale': ['Arsenate'], 'Lettuce': ['Arsenate'], 'Carrots': ['Arsenate'], 'Potatoes': ['Arsenate']}</s>","Kale, lettuce, carrots and potatoes were grown in 20 experimental plots surrounding a wood preservation factory, to investigate the amount and pathways for plant uptake of arsenic and chromium. Arsenate used in the wood preservation process is converted to the more toxic arsenite by incineration of waste wood and is emitted into the atmosphere. Elevated concentrations of inorganic arsenic and chromium were found both in the test plants and in the soil around the factory. Multivariate statistical analysis of the results indicated that the dominating pathway of arsenic and chromium from the factory to the leafy vegetables grown nearby was by direct atmospheric deposition, while arsenic in the root crops originated from both the soil and the atmosphere. Consumption of vegetables grown near the source would result in an increased intake of inorganic arsenic, but the intake via the total diet was estimated to be below the provisional tolerable daily intake for inorganic arsenic established by FAO/WHO."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""Brassica bara L."": {
        ""Tolfenpyrad"": ""hazardous""
    },
    ""Spinacia oleracea L."": {
        ""Tolfenpyrad"": ""hazardous""
    },
    ""Lactuca sativa L."": {
        ""Tolfenpyrad"": ""hazardous""
    },
    ""Brassica chinensis L."": {
        ""Tolfenpyrad"": ""hazardous""
    }
}
```
Note: The dictionary only includes the foods and chemicals that are mentioned in the text provided.</s>","Chemicals: tolfenpyrad
Foods: Brassica bara L., Spinacia oleracea L., Lactuca sativa L., and Brassica chinensis L.
Dictionary: {Brassica bara L.: tolfenpyrad, Spinacia oleracea L.: tolfenpyrad, Lactuca sativa L.: tolfenpyrad, Brassica chinensis L.: tolfenpyrad}</s>","{'Brassica bara L.': ['tolfenpyrad'], 'Spinacia oleracea L.': ['tolfenpyrad'], 'Lactuca sativa L.': ['tolfenpyrad'], 'Brassica chinensis L.': ['tolfenpyrad']}</s>","A novel and accurate analytical method for the determination of tolfenpyrad in four leafy green vegetables, Brassica bara L. , Spinacia oleracea L. , Lactuca sativa L. and Brassica chinensis L. , was developed and applied to investigate the residue distribution and dietary risk under greenhouse conditions. The established approach was determined to be adequate, with recoveries of 79.2%-92.9% and relative standard deviations < 8%. Tolfenpyrad dissipated relatively rapidly in four leafy green vegetables. Terminal residues of tolfenpyrad were below 0.5 mg/kg (maximum residue limit for Brassica bara L. set by China) in leafy green vegetables collected 28 d after the last application. Due to risk quotient values < 100%, the residue levels of tolfenpyrad in leafy green vegetables collected 21 days after the last application were deemed safe for consumers. The results provide field data for the reasonable use and dietary risk assessment of tolfenpyrad in leafy green vegetables."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{'Leafy greens': ['STEC O157', 'hemolytic uremic syndrome', 'outbreaks', 'illnesses', 'deaths']}
```

Note: The dictionary only includes the chemicals that are mentioned to be a hazard, contaminant or have the potential to pose risk for human health via consumption of the foods. The dictionary does not include any irrelevant noun phrases or sentences in values.</s>","Chemicals: None
            Foods: None
            Dictionary: {}</s>",{'Leafy greens': ['Escherichia coli']}</s>,"Shiga toxin-producing Escherichia coli (STEC) cause substantial and costly illnesses. Leafy greens are the second most common source of foodborne STEC O157 outbreaks. We examined STEC outbreaks linked to leafy greens during 2009-2018 in the United States and Canada. We identified 40 outbreaks, 1,212 illnesses, 77 cases of hemolytic uremic syndrome, and 8 deaths. More outbreaks were linked to romaine lettuce (54%) than to any other type of leafy green. More outbreaks occurred in the fall (45%) and spring (28%) than in other seasons. Barriers in epidemiologic and traceback investigations complicated identification of the ultimate outbreak source. Research on the seasonality of leafy green outbreaks and vulnerability to STEC contamination and bacterial survival dynamics by leafy green type are warranted. Improvements in traceability of leafy greens are also needed. Federal and state health partners, researchers, the leafy green industry, and retailers can work together on interventions to reduce STEC contamination."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""leafy vegetables"": [
        ""pesticide residues"",
        ""Maximum Residue Levels (MRLs)""
    ]
}
```
Note: The dictionary only includes the chemicals that are mentioned to be a contaminant, hazard, or potentially harmful for human health via food consumption, and the food that is mentioned in the text.</s>","Chemicals: [('Malathion',), ('Methamidophos',), ('Oxydemeton-methyl',), ('Phenmedipham',), ('Pirimphos-methyl',), ('Propoxur',), ('Thiabendazole',), ('Triazophos',)]
            Foods: [('Leafy vegetables',), ('Greenhouses',), ('Wholesale vegetable market',)]
            Dictionary: {
                'Leafy vegetables': ['Malathion', 'Methamidophos', 'Oxydemeton-methyl', 'Phenmedipham', 'Pirimphos-methyl', 'Propoxur', 'Thiabendazole', 'Triazophos'],
                'Greenhouses': [],
                'Wholesale vegetable market': []
            }</s>","{'lettuce': ['pesticide1', 'pesticide2', 'pesticide3'], 'spinach': ['pesticide4', 'pesticide5'], 'carrot': ['pesticide6']}</s>","In the present study, QuEChERS method was optimized and validated for determination of 260 pesticides by liquid chromatography-tandem mass spectrometry (LC-MS/MS). The method had a suitable linearity (R2 ≥ 0.99). Limit of detection (LOD) and limit of quantification (LOQ) were ranged from 0.56 to 2.99 µg kg-1 and 1.88 to 9.99 µg kg-1 respectively. Average recoveries varied from 71.14% to 118.83%. Repeatability conditions and intra-laboratory reproducibility conditions of the method expressed as %RSD were found between 0.55% and 16.69% and 0.74% to 19.06%, respectively. The method was used to detect pesticide residue levels of leafy vegetables collected from the open markets, greenhouses and wholesale vegetable market. The pesticide residues were detected in 57.6% of the all samples. In five samples, pesticide residues were above Maximum Residue Levels (MRLs). The risk assessment study for detected pesticides in samples indicated that leafy vegetables consumption was safe for consumers."
"Here is the dictionary format with the foods and chemicals that are mentioned to be a food safety hazard, to contaminate or have the potential to pose risk for human health via consumption of the foods:

```
{
    ""vegetables"": [""paraben preservative residues""],
    ""paraben preservative residues"": [""paraben"", ""parabens""]
}
```
Note: The dictionary only includes the food and chemicals that are mentioned in the text provided.</s>","Chemicals: paraben, preservative, toxicity, human health, vegetables, growth, transport, storage, paraben residues, leafy vegetables, MSPD, DVA-MSPD, UHPLC, electrospray ionization, quadrupole time-of-flight mass spectrometry, detection, LC-MS, paraben residues in leafy vegetables
Foods: leafy vegetables, vegetable samples
Dictionary: {
    'paraben': {
        'preservative': {
            'toxicity': {
                'human health': {
                    'vegetables': {
                        'growth': {
                            'transport': {
                                'storage': {
                                    'paraben residues': {
                                        'leafy vegetables': {
                                            'MSPD': {
                                                'DVA-MSPD': {
                                                    'UHPLC': {
                                                        'electrospray ionization': {
                                                            'quadrupole time-of-flight mass spectrometry': {
                                                                'detection': {
                                                                    'rapid determination of selected paraben residues at trace-level in leafy vegetable samples': {
                                                                        'developed method': {
                                                                            'satisfactory average recoveries': {
                                                                                '85-104% with RSDs less than 10%': {
                                                                                    'limitation of quantification': {
                                                                                        '1.2-1.8 ng g-1 (dry weight)': {
                                                                                            'technique': {
                                                                                                'simplified the original MSPD technique': {
                                                                                                    'eliminated the use of mortar/pestle and SPE-column procedures': {
                                                                                                        'optimized by Box-Behnken Design plus response surface methodology': {
                                                                                                            'multilevel categorical design': {
                                                                                                                'factors': {
                                                                                ",{'Vegetables': ['Parabens']}</s>,"The extensive use of preservatives during the growth, transport and storage of vegetables has been a concern because of their known or suspected toxicity that jeopardizes human health. This paper reports the development of a technique that rapidly determines the presence of five paraben preservative residues in leafy vegetables using double-vortex-assisted matrix solid-phase dispersion (DVA-MSPD) and UHPLC-electrospray ionization(-)-quadrupole time-of-flight mass spectrometry detection. We simplified the original MSPD technique by eliminating the use of mortar/pestle and SPE-column procedures. The DVA-MSPD factors were screened by a multilevel categorical design, and then optimized by Box-Behnken Design plus response surface methodology. The limits of quantification were 1.2-1.8 ng g-1 (dry weight). The satisfactory average recoveries were 85-104% with RSDs less than 10%. The developed method was successfully employed for the rapid determination of selected paraben residues at trace-level in leafy vegetable samples."
