step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: Aflatoxins (AFs)
            Foods: Maize destined for animal feed
            Dictionary: {
                ""maize"": [""AFs""],
                ""milk"": [""AFs""],
                ""derived products"": [""AFs""]
            }</s>",{'maize': ['Aspergillus flavus']}</s>,"In 2003, for the first time in Italy, significant problems arose with colonization and contamination of maize destined for animal feed with Aspergillus section Flavi and aflatoxins (AFs). This resulted in milk and derived products being contaminated with AFM(1) at levels above the legislative limit. There was little knowledge and experience of this problem in Italy. The objectives of this research were thus to study the populations of Aspergillus section Flavi in six northern Italian regions and obtain information on the relative role of the key species, ability to produce sclerotia, production of the main toxic secondary metabolites, aflatoxins and cyclopiazonic acid, and tolerance of key environmental parameters. A total of 70 strains were isolated and they included the toxigenic species A. flavus and A. parasiticus. A. flavus was dominant in the populations studied, representing 93% of the strains. Seventy percent of strains of Aspergillus section Flavi produced AFs, with 50% of strains also producing cyclopiazonic acid. Sixty-two percent of A. flavus strains and 80% of A. parasiticus were able to produce sclerotia at 30 degrees C. Using 5/2 agar, only 1 strain developed S sclerotia and 19 L sclerotia. With regard to ecological studies, growth of Aspergillus section Flavi was optimal at between 25 and 30 degrees C, while AFB(1) production was optimal at 25 degrees C. Regarding water availability (water activity, a(w)), 0.99 a(w) was optimal for both growth and AFs production, while the only aflatoxin produced in the driest condition tested (0.83 a(w)) was AFB(1). This information will be very useful in identifying regions at risk in northern Italy by linking climatic regional information to levels of fungal contamination present and potential for aflatoxin production in maize destined for animal feed. This would be beneficial as part of a prevention strategy for minimising AFs in this product."
"Chemicals: None
Foods: None
Dictionary: None</s>","The provided text does not contain any information about chemical substances or food items that could be potential safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","We report the first field trial of different transgenic lines of Indica Basmati rice (B-370) expressing cry1Ac and cry2A genes. Different transgenic lines were grown under field conditions for two consecutive years, according to RCBD and Split Plot Design respectively. All the biosafety measures were taken into consideration. Sixty neonate larvae of yellow stem borer were artificially infested into each plant in three installments. Data was recorded in terms of dead hearts and white heads at vegetative and flowering stage respectively. Transgenic lines exhibited inherent ability to protect rice plants from target insects (p<0.01). Natural infestations of rice skipper and rice leaf folder were also observed and transgenic plants were statistically superior to their untransformed counterparts. Green house whole plant bioassays were done by infesting two 2nd instar larvae of rice leaf folder per tiller. Transgenics were 96% more resistant than untransformed control plants. The presence of cry genes was observed with Dot blot, PCR and Southern blot analysis, while ELISA and Western blot analysis confirmed the expression of Cry proteins. All lines expressed higher level of Cry proteins when compared with commercially released cultivars of Bt cotton, maize and potato. It was also observed that although toxin titer substantially decreased with increasing age of the plants, it remained well within the limits to kill the target insects. Morphological studies showed significant variation for days to maturity, plant height and panicle length. Cooking qualities of seeds harvested from these lines were compared with the untransformed control. The transgenic lines had no effect on non-target insects (insects belonging to orders other than diptera and lepidoptera) and germination of three local varieties of wheat. Chances of gene spread were calculated at a level of 0.18% cross pollination in experimental lines."
"Chemicals: Cadmium (Cd), Lead (Pb), Nickel (Ni)
            Foods: Wheat (Triticum aestivum L. ) plants
            Dictionary: {
                ""Cotton stalks (CSBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Rice straw (RSBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Poultry manure (PMBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Lawn grass (LGBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Vegetable peels (VPBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Maize straw (MSBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                },
                ""Rice husks (RHBC)"": {
                    ""Cadmium"": ""hazardous"",
                    ""Lead"": ""hazardous"",
                    ""Nickel"": ""hazardous""
                }
            }</s>","The chemical hazards per food are:

{'wheat': ['Cotton stalks (CSBC)', 'Rice straw (RSBC)', 'Poultry manure (PMBC)', 'Lawn grass (LGBC)', 'Vegetable peels (VPBC)', 'Maize straw (MSBC)', 'Rice husks (RHBC)']}</s>","Heavy metals (HMs) contamination of agricultural soils is an emerging food safety challenge at world level. Therefore, as a possible treatment for the remediation of a HMs contaminated soil (sewage water irrigation for 20-years), the impact of biochar (BC) was investigated on the uptake of HMs by wheat (Triticum aestivum L. ) plants. The BC was produced from seven different feedstocks (cotton stalks (CSBC), rice straw (RSBC), poultry manure (PMBC), lawn grass (LGBC), vegetable peels (VPBC), maize straw (MSBC), and rice husks (RHBC)). Each BC was applied at 1.25% (dry weight basis, w/w) in contaminated soil and a control was maintained without BC addition and wheat was grown in potted soil and harvested at maturity. Results revealed that the properties of different biochars regulated their effects on soil nutrient and HMs mobility and uptake by plants. The maximum plant phosphorous and potassium uptake and translocation to grain (173.4% and 341%, respectively) was found in RSBC treatment over control. The RHBC, PMBC, and MSBC treatments showed a maximum decrease in grain Cd concentration (32.9%, 33.8%, and 34.1%, respectively) compared to the control. The grain Pb (-41% to -51%, with no significant differences among different treatments) and Ni (-63%) concentrations were also reduced significantly following BC treatments compared to control. The daily intake and health risk index of Cd were significantly decreased due to PMBC (-28.1% and -33.8%, respectively), and MSBC (-28.3% and -34.1%, respectively) treatment over control. The BC treatments significantly increased the translocation factor of Cd in the order of VPBC (52.1%) > LGBC (25.4%) > CSBC (13.6%) > RSBC (12.1%) compared to control. The study demonstrated that the effects of BC on metal uptake in plants varied with feedstocks and suitable BC can be further exploited for the rehabilitation of contaminated soils and thereby ensuring food safety."
"Chemicals: [V, Cr, Co, Cu, Zn, Cd, Pb, Sb]
            Foods: [soils from a tannery waste lagoon, Hebei, north China]
            Dictionary: {
                'soils from a tannery waste lagoon, Hebei, north China': ['V', 'Cr', 'Co', 'Cu', 'Zn', 'Cd', 'Pb', 'Sb']
            }</s>","{'Foods': ['soils', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil', 'soil","In this paper, heavy metals (i. e. , V, Cr, Co, Cu, Zn, Cd, Pb, and Sb) in soils from a tannery waste lagoon, Hebei, north China were investigated. Element concentrates were determined by a portable X-ray fluorescence in situ and an inductively coupled plasma mass spectrometry in the lab. Two sets of indexes, including geological accumulation index, contamination factor, and pollution load index, and hazard quotient and total carcinogenic risk were adopted to evaluate the pollution and health-risk of heavy metals. A scanning electron microscopy in conjunction with an energy dispersive X-ray spectroscopy and an X-ray photoelectron spectroscopy was used to observe chromium occurrence and speciation. With an average of 6493.11 mg/kg, chromium contents in the lagoon soils reached up to 12971.19 mg/kg, 211-times higher than the threshold of Chinese soils (61.00 mg/kg). Elevated Cr contents resulted in significantly high pollution and noncarcinogenic and carcinogenic risks in the studied area. Chromium in most soils occurred predominately as Cr3+ (60-74%), and to a lesser extent, Cr6+. The mechanism responsible for decreasing Cr6+ percentages in soils with increasing depth was summarized: Cr6+ favors aqueous environment; soil moisture decreased with increasing depth; in soils especially in the lower portion, Cr6+ was reduced by Fe0 and Fe2, transforming into Cr3+ and Fe3+. In addition, the alkaline condition promoted Cr3+ to precipitate, resulting more Cr3+ absorbing in soils. The intimate association of Cr and Fe in soils (i. e. , Cr mainly occurred in Fe oxides and dolomite) further confirmed our assumptions. A combined application of microorganism (e. g. , Aeromonas hydrophila) and biochar (prepared from maize stalk or peanut shells) were recommended to alleviate Cr pollution in the soils."
"Chemicals: None
Foods: Bambara groundnut, maize, maize-derived products, rice, spices
Dictionary: {}</s>","{'Bambara groundnut': ['Aspergillus', 'Penicillium', 'Fusarium'], 'maize and maize-derived products': ['Aspergillus', 'Penicillium', 'Fusarium'], 'rice': ['Aspergillus', 'Penicillium', 'Fusarium'], 'spices': ['Aspergillus', 'Penicillium', 'Fusarium']}</s>","The study investigated the occurrence of natural fungal contaminants in food commodities consumed in Durban, South Africa. A total of 110 samples including Bambara groundnut, maize and maize‐derived products, rice, and spices were collected from open markets and retail stores and screened for fungal contaminants using conventional and molecular methods. A total of 179 isolates belonging to fungal genera including Aspergillus, Penicillium, and Fusarium were recovered. Aspergillus (52.5%) and Penicillium (31.8%) were the most prevalent genera, contaminating 85.5% and 51.8% of the total samples analyzed, respectively. Bambara groundnut (100%), spices (89.5%), rice (86.9%), and maize and maize‐derived products (71.9%) were contaminated by Aspergillus sp. Bambara groundnut (64.7%) and spices (44.7%) were contaminated by Aspergillus flavus. Penicillium citrinum was recovered from spices (71.1%), Bambara groundnut (61.7%), rice (34.8%), and maize and maize‐derived products (31.3%). Some of the isolated fungi are mycotoxin producers and their detection raise concerns on consumers' health. PRACTICAL APPLICATIONS: Fungal contamination of agricultural products poses a challenge to global food security. Mycotoxins, the toxigenic metabolites produced by some fungal species, are not completely destroyed by processing operations, and are carried over into processed food, through which they may cause harm to consumers. Routine tests on the mycological quality of consumer goods have therefore become pertinent. This study reports the isolation of live pathogenic fungi in commonly consumed food commodities, necessitating the need for regular routine checks to ensure the mycological safety of agricultural products offered for sale to consumers. As proliferation of these fungi is influenced by storage conditions, this study will also contribute to devising appropriate storage management techniques for these commodities."
"Chemicals: TCDD
            Foods: None
            Dictionary: {TCDD: 'hazardous'}</s>",{'corn oil': ['TCDD']}</s>,"The effectiveness of activated carbon in reducing the bioavailability of 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) was examined from the context of using in situ sorbent amendments to remediate soils/sediments contaminated with polychlorinated dibenzo-p-dioxins/dibenzofurans (PCDD/Fs). This technology has gained rapid acceptance based on observations that activated carbon amendments predictably lower PCDD/F concentrations in water and bioaccumulation by simple aquatic organisms and earthworms; it has been assumed that bioavailability to mammals is similarly reduced, although this has been disproven for other sorbent materials. In the present study TCDD was absorbed to a microporous activated carbon (TCDD-AC) using the incipient wetness method. An aqueous suspension of TCDD-AC and an equivalent dosage of TCDD in corn oil were administered by oral gavage to B6C3F1 mice. The relative bioavailability of TCDD-AC was determined by quantifying and comparing the hepatic induction of cyp1A1 (messenger ribonucleic acid) and suppression of the immunoglobulin M antibody-forming cell immune response by the 2 forms of TCDD. A concentration-dependent response was observed for both assays when TCDD in corn oil was administered to mice. However, when equivalent masses of TCDD were administered as TCDD-AC, no induction of cyp1A1 or suppression of the immunoglobulin M antibody-forming cell response was observed. The absence of these 2 sensitive aryl hydrocarbon receptor-mediated responses in mice provides the first direct evidence that activated carbon can sequester TCDD in a form that eliminates its bioavailability to mammals. These results support the premise that activated carbon can be used to reduce the bioeffective dose of TCDD delivered to mammals and that activated carbon amendments may provide a low-cost alternative to traditional remediation technologies. Environ Toxicol Chem 2017;36:2671-2678."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'maize': ['ammonium nitrate', 'nitrate']}</s>","Spreading of manure on agricultural soils is a main source of ammonia emissions and/or nitrate leaching. It has been addressed by the European Union with the Directives 2001/81/EC and 91/676/EEC to protect the environment and the human health. The disposal of manure has therefore become an economic and environmental challenge for farmers. Thus, the conversion of manure via anaerobic digestion in a biogas plant could be a sustainable solution, having the byproducts (solid and liquid digestates) the potential to be used as fertilizers for crops. This work aimed at characterizing and assessing the effect of digestates obtained from a local biogas plant (Biogas Wipptal, Gmbh), either in the form of liquid fraction or as a solid pellet on: (i) the fertility of the soils during an incubation experiment; (ii) the plant growth and nutritional status of different species (maize and cucumber). Moreover, an extensive characterization of the pellet was performed via X-ray microanalytical techniques. The data obtained showed that both digestates exhibit a fertilizing potential for crops, depending on the plant species and the fertilizer dose: the liquid fraction increases the shoot fresh weight at low dose in cucumber, conversely, the solid pellet increases the shoot fresh weight at high dose in maize. The liquid digestate may have the advantage to release nutrients (i. e. nitrogen) more rapidly to plants, but its storage represents the main constraint (i. e. ammonia volatilization). Indeed, pelleting the digestates could improve the storability of the fertilizer besides enhancing plant nutrient availability (i. e. phosphate and potassium), plant biomass and soil biochemical quality (i. e. microbial biomass and activity). The physical structure and chemical composition of pellet digestates allow nutrients to be easily mobilized over time, representing a possible source of mineral nutrients also in long-term applications."
"Chemicals: aflatoxins, fumonisins, ochratoxin A, zearalenone
Foods: corn products, wheat-based products, rice, bread, pasta, milk
Dictionary: {
    'corn products': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone'],
    'wheat-based products': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone'],
    'rice': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone'],
    'bread': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone'],
    'pasta': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone']
}</s>","{'corn products': ['aflatoxins', 'fumonisins', 'ochratoxin A', 'zearalenone']}</s>","The exposure and risk characterization of lactating women to aflatoxins (AFs), fumonisins (FBs), ochratoxin A (OTA) and zearalenone (ZEN) due to consumption of different types of food products in Pirassununga, São Paulo, Brazil, was assessed. Lactating women (N = 74) provided samples of foods stored and available at their households between April-August/2018, totaling 184 samples. Mycotoxins were determined in food samples by liquid chromatography-tandem mass spectrometry. According to findings, 20% (n = 36) of all food samples were contaminated with AFs at median concentrations ranging from 9.2 to 18.5 µg/kg, while OTA was detected only in three samples (rice, bread and pasta) at concentrations of 22.3, 23.8 and 48.7 µg/kg, respectively. ZEN was detected in 34 samples (18%) at median levels of 62-195 µg/kg, and FBs at median levels of 58-1546 µg/kg was observed in 22 samples (12%). Moreover, the concentration of AFs, OTA, ZEN and FBs exceeded their respective maximum permitted levels in 11 (6%), 3 (2%), 8 (4%) and 5 (3%) from total samples, respectively. Twenty-eight samples (15%) were contaminated with two or three types of mycotoxins. Corn products contributed for the highest mean probable daily intakes (PDI) of AFs (0.119 ± 0.193 µg/kg body weight (bw)/day), ZEN (0.325 ± 0.097 µg/kg bw/day) and FBs (2.936 ± 1.541 µg/kg bw/day), while wheat-based products contributed for the highest PDI of OTA (0.035 ± 0.028 µg/kg bw/day). The Margin of Exposure (MoE) value for AFs (3.72) demonstrated a high cancer risk (MoE < 10,000), and the Hazard Quotient (HQ) obtained for OTA (24.66), ZEN (4.24) and total FBs (5.01) also resulted in a non-tolerable risk (HQ > 1) via consumption of the investigated food products. Results of this trial indicate high exposure levels of lactating women to dietary mycotoxins in the studied area, which warrant concern about the possible transfer of residual mycotoxins into breast milk."
"Chemicals: [lead (Pb), zinc (Zn)]
            Foods: [corn (Zea mays L. ) seedlings]
            Dictionary: {
                'lead (Pb)': ['slow-release coated EDTA granules', 'uncoated EDTA granules', 'EDTA solution'],
                'zinc (Zn)': ['slow-release coated EDTA granules', 'uncoated EDTA granules', 'EDTA solution']
            }</s>","{'Corn (Zea mays L. )': ['Lead (Pb)', 'Zinc (Zn)']}</s>","Short-term enhancement of lead (Pb) and zinc (Zn) uptake by corn (Zea mays L. ) seedlings from a contaminated soil was compared using slow-release coated EDTA granules-a coated chelating agent (CCA), uncoated EDTA granules, and EDTA solution in a greenhouse experiment. Soil Pb and Zn fractions were determined using a sequential extraction scheme. Release of the metals in the soil was examined in a column leaching study. After only 7 days of seedling growth, shoot biomass was decreased by all EDTA treatments compared with the zero-EDTA control. The amount of shoot biomass produced was highest with uncoated EDTA, intermediate with CCA, and lowest with the EDTA solution. Shoot Pb contents were highest with solid EDTA, intermediate with CCA, and lowest with EDTA solution, and they were always higher with EDTA treatments than in controls. In contrast, shoot Zn contents following EDTA treatments were lower than in the control. Levels of soil dissolved organic carbon (DOC) in aqueous soil extracts were much lower after CCA application than following treatments with solid EDTA and EDTA solution. After 17 days of plant growth, when most of the chelating agent had been released from the CCA, soil organic carbon levels remained relatively constant and similar to those in the control, indicating that a relatively low chelating agent concentration can be maintained for the plants to take up the metals. The distribution of Pb in the sequential extraction procedure showed that the Pb level in the exchangeable+carbonate-bound fraction with CCA was significantly lower than that with solid EDTA or EDTA solution, further indicating that slow release of CCA improves the bioavailability of metals in the soil to match plant uptake of those metals. The results suggest that CCA can enhance shoot content of Pb but not of Zn from the contaminated soil in the short term, and may also reduce the risk of metal leaching from the soil."
"Chemicals: Aflatoxins
            Foods: Cassava, maize, groundnut, beans, soybean, sorghum, and milk
            Dictionary: {
                'Cassava': ['Aflatoxins'],
                'Maize': ['Aflatoxins'],
                'Groundnut': ['Aflatoxins'],
                'Beans': ['Aflatoxins'],
                'Soybean': ['Aflatoxins'],
                'Sorghum': ['Aflatoxins'],
                'Milk': ['Aflatoxin-M1']
            }</s>","{'cassava': ['aflatoxins'], 'maize': ['aflatoxins'], 'groundnut': ['aflatoxins'], 'beans': ['aflatoxins'], 'soybean': ['aflatoxins'], 'sorghum': ['aflatoxins'], 'milk': ['aflatoxin-M1']}</s>","Aflatoxins are noxious secondary metabolites, of certain fungal species, found in food and feed. Contamination of a commodity with aflatoxins is associated with production and storage losses, and subsequently less food availability. Aflatoxins can also pose human health risks and represent a barrier to the development of trade, in both domestic and international markets. In this study, samples of cassava, maize, groundnut, beans, soybean, sorghum and milk, and their processed products were collected from local markets in Burundi and Eastern DRC. In order to investigate the levels of aflatoxin, crop samples were analyzed using a single step lateral flow immunochromatographic assay (Reveal Q+), while enzyme-linked immune-sorbent assay (ELISA) was used to analyze aflatoxin-M1 in milk, yogurt, and cheese samples. The results revealed the presence of aflatoxins in all samples from both countries, with levels ranging from 1.3 to 2,410 μg/kg. Samples collected from Burundi contained relatively higher (p > 0.0.5) levels of aflatoxins. In 51% of all the crops samples, total aflatoxin contamination was above the EU maximum tolerable level of 4 μg/kg. Processed products, particularly from groundnut, maize, and sorghum, had the highest levels of aflatoxin contamination when compared to unprocessed grain. With regard to milk and dairy products, the level of aflatoxin-M1 ranged from 4.8 to 261.1 ng/kg. Approximately 29% of milk and yogurt samples had aflatoxin-M1 higher than the EU regulatory limit of 50 ng/kg, whereas 20% of cheese samples were found to be contaminated at levels higher than the maximum limit of 250 ng/kg. These results can serve as the basis for pre- and postharvest approaches to reduce aflatoxin contamination in agricultural commodities in Burundi and Eastern DRC in order to reduce health risk, avoid reduced production in livestock, and open up export markets."
"Chemicals: None
            Foods: Pearl millet, pearl millet grains, gluten-free, dietary fiber content, essential amino acids, low cost, aflatoxins, functional properties, glycemic index, alternative food security crop, Brazil, food for weight control, diabetes.
            Dictionary: {}</s>","{'pearl millet': ['small nutritious cereal grains', 'gluten-free', 'higher in dietary fiber content than rice', 'similar in lipid content to maize', 'higher content of essential amino acids (leucine, isoleucine and lysine) than other traditional cereals, such as wheat and rye', 'low cost', 'less susceptible to contamination by aflatoxins compared to corn', 'low glycemic index', 'can be used as an alternative food for weight control and to reduce the risk of chronic diseases, such as diabetes']}</s>","Climate change can cause an increase in arid soils, warmer weather, and reduce water availability, which in turn can directly affect food security. This increases food prices and reduces the availability of food. Therefore, knowledge concerning the nutritional and technological potential of non-traditional crops and their resistance to heat and drought is very interesting. Pearl millet is known to produce small nutritious cereal grains, which can endure both heat and dry conditions, and is one of the basic cereals of several African and Asian countries. Although this species has been cultivated in Brazil for at least 50 years it is only used as a cover crop and animal feed, but not for human consumption. Nonetheless, pearl millet grains have a high potential as food for humans because they are gluten-free, higher in dietary fiber content than rice, similar in lipid content to maize and higher content of essential amino acids (leucine, isoleucine and lysine) than other traditional cereals, such as wheat and rye. In addition, the crop is low cost and less susceptible to contamination by aflatoxins compared to corn, for example. Most grains, including pearl millet, can be milled, decorticated, germinated, fermented, cooked and extruded to obtain products such as flours, biscuits, snacks, pasta and non-dairy probiotic beverages. Pearl millet also has functional properties; it has a low glycemic index and therefore it can be used as an alternative food for weight control and to reduce the risk of chronic diseases, such as diabetes. Thus, this review intends to show the potential of pearl millet as an alternative food security crop, particularly in countries, like Brazil, where it is not commonly consumed. Also this review presents different processes and products that have been already reported in the literature in order to introduce the great potential of this important small grain to producers and consumers."
"Chemicals: nitrate, ammonium, nitrogen
Foods: wheat, maize
Dictionary: {wheat: ['nitrate'], maize: ['nitrate']}</s>","The chemical hazards per food are:

{'Triticum aestivum L.': ['Nitrate N'], 'Zea mays L.': ['Nitrate N']}</s>","Agricultural nitrogen (N) non-point source pollution in the North China Plain is a major factor that affects water quality and human health. The characteristics of N leaching under different N application conditions should be further quantified accurately in winter wheat (Triticum aestivum L. ) and summer maize (Zea mays L. ) rotation farmland in North China, and a basis for reducing the risk and evaluation of N leaching in this area. A three-year field experiment was conducted using an in situ leakage pond method at a typical farmland in Henan in 2017-2020. Crop yield, soil nitrate N residues, and N utilization were also studied during the study period. Five N fertilizer rates were established with 0 (CK), 285 (LN), 465 (MN), 510 (MNO), and 645 (HN) kg N ha-1 for one rotation cycle. MNO was applied with chemical and organic fertilizers. The concentration of nitrate N in the soil leaching solution of CK, LN, MN, MNO, and HN was 0.81-, 1.49-, 3.65-, 5.55-, and 7.57-fold that of the World Health Organization's standard for underground drinking water. The exponential relationship between the N application rate and leaching was obtained when the annual N input exceeded 300 kg ha-1, and the N leaching rate increased greatly. The leaching rate of nitrate N in the total N was 50.6-82.4% under different treatments of N application. The combination of chemical and organic fertilizers treatment (MNO) reduced the amount of N that was leached in dry years. The nitrate leaching amount of summer maize accounts for 83.0%, 49.4%, and 72.0% of the total nitrate leaching amount of the whole rotation cycles in 2017-2020. LN and MN were recommended as the optimized N application here (285-465 kg N ha-1) with the two-season rotation grain yield of 17.2 ton ha-1 (16.5-17.9 ton ha-1) and nitrate N leaching of 21.6 kg ha-1 (12.6-30.5 kg ha-1)."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","Over the past decades, genes of Bacillus thuringiensis var. kurstaki (Berliner) (Bt) coding for protein toxins have been engineered into maize for protection against the European Corn Borer (Ostrinia nubilalis (Hbn. )). However, these transgenic plants may have an impact on non-target organisms. In particular, a potential hazard was identified for non-target lepidopteran larvae, if they consume Bt maize pollen on their host plants. Risk can be defined as a function of the effect of an event (hazard) and the likelihood of this event occurring. Although data on toxicity (hazard) are available from many lab and field studies, knowledge about the environmental exposure of European lepidopteran larvae is incomplete at the population level. Therefore we studied the distribution of small tortoiseshell caterpillars (Aglais urticae (L. )) and its host plant in an agricultural landscape in Germany, to estimate the potential population exposure to maize pollen. The results showed that larvae of the small tortoiseshell developed primarily on freshly sprouted nettle stands (Urtica dioica (L. )) in field margins, rather than adjacent to hedges and groves. However, the main distribution was at margins of cereal (non-maize) fields, where 70% of all larvae were found. This may be due the fact that cereals covered 54% of the survey area, while maize only covered 6.1%. On the other hand, maize fields seem so show higher food plant densities than cereal crops. The results must be interpreted carefully, as the data basis of the present study is very small, and the situation can vary between years due to crop rotation or other changes in agricultural practices. Therefore it is still questionable whether the small tortoiseshell is significantly exposed to maize pollen. For a conclusive risk assessment, more replications and surveys of larger areas in different intensively managed agricultural landscapes over several years are needed."
"Chemicals: None
Foods: None
Dictionary: None</s>",{'food': ['chemical']}</s>,"An index-based approach for a comprehensive evaluation of the potential risk for active substances and their mixtures to impact the environment was developed. Some of the indices considered already exist (PRISW-1, Priority Index), while others were created ex novo from indicators available on open-source platforms (PESTi, ECOi, AGROi). These indices maybe used for an evaluation before use of pesticides by farmers and advisers. The present approach was initially validated for herbicides in maize crops, but it can readily be applied to other PPPs and crops. PESTi index underline the physical and chemical characteristics as a whole, not considering the impact of other factors such as application rate or period of application. Hence, this index may underestimate the risk associated to a certain chemical. AGROi has a precautionary approach. The risk associated to a specific mixture derives from a combination of intrinsic characteristics of the chemicals, agronomic impacts, regulation restrictions and potential hazard to water compartment. The ECOi index is focused on the ecotoxicological impact against non-target organisms. The helpfulness of this index stands in its ability to easily discriminate the ecotoxicological impact of chemicals using indicators commonly available in literature and without making complex calculations. PRISW-1 Index discriminate active substances according to their risk against three representative non-target organisms. However, due to the intrinsic characteristics of each pesticide, a high PRISW-1 value could not always mean an easy movement of the chemical via runoff waters. The information deriving from Priority index may certainly help public authorities to select chemicals to be detected in water monitoring campaigns. The application of these indices may represent a valid decision tool for public stakeholders in defining agricultural measures to reduce the externalities of pest control."
"Chemicals: arsenic (As), cadmium (Cd), lead (Pb)
            Foods: wheat, corns
            Dictionary: {
                ""wheat in Niger Delta"": {
                    ""arsenic (As)"": ""3.3 mg/kg"",
                    ""cadmium (Cd)"": ""2.55 mg/kg""
                },
                ""wheat in European Union"": {
                    ""arsenic (As)"": ""2.55 mg/kg"",
                    ""cadmium (Cd)"": ""2.55 mg/kg""
                },
                ""wheat in Hyderabad"": {
                    ""arsenic (As)"": ""5"",
                    ""cadmium (Cd)"": ""5""
                },
                ""wheat in Murcia"": {
                    ""lead (Pb)"": ""5""
                },
                ""corn in Niger Delta"": {
                    ""arsenic (As)"": ""3.3 mg/kg"",
                    ""cadmium (Cd)"": ""2.55 mg/kg""
                },
                ""corn in European Union"": {
                    ""arsenic (As)"": ""2.55 mg/kg"",
                    ""cadmium (Cd)"": ""2.55 mg/kg""
                },
                ""corn in Hyderabad"": {
                    ""arsenic (As)"": ""5"",
                    ""cadmium (Cd)"": ""5""
                },
                ""corn in Murcia"": {
                    ""lead (Pb)"": ""5""
                }
            }</s>","{'wheat': ['As', 'Cd', 'Pb']}</s>","Human health risks of five different heavy metals were assessed in nine typical areas in Asia, Europe, and Africa. The geoaccumulation index (Igeo) of arsenic (As) in Hyderabad (HB), cadmium (Cd) in Veles (VL), and lead (Pb) in Murcia (MC) were found to be 5, indicating extreme contamination. This is related to their high concentrations in soil. The concentration of As in wheat in Niger Delta (ND) and European Union (EU) areas were 3.3 and 2.55 mg/kg, which were 22 and 17 times respectively of the World Health Organization (WHO)/Food and Agriculture Organization (FAO) criteria. In general, the concentrations of heavy metals in wheats were higher than those in corns, indicating that heavy metals were easier to accumulate in wheats than in corns. The human risks induced by the carcinogenic metals As and Cd were much higher than those induced by noncarcinogenic metals in different exposure ways. The human health risks of heavy metals in different exposure ways were Rw-ing > Rc-ing > Rs-ing > Rs-der > Rs-inh. The human health risks induced by wheat ingestion for adults and children accounted for 67.75-97.52% and 69.52-98.04%, respectively, of the total human health risks. The total human health risks in the VL and MC areas were 1.58 × 10-4 a-1 and 1.3 × 10-4 a-1 for adults and 1.14 × 10-4 a-1 and 9.47 × 10-5 a-1 for children, respectively, which were significantly high according to the Environmental Protection Agency and International Commission on Radiological Protection. The ranking of the total human health risks in different areas were RVL > RMC > RND > REU > RHB > RKY > RTB > RMLV > RNHM. The total human health risks of adults were higher than those of children."
