step_by_step_prompt,pseudo_prompt,abstracts
"Chemicals: None
            Foods: None
            Dictionary: {}</s>","The provided text does not contain any chemical substances or food items, so the function identify_safety_hazards() will return an empty dictionary.</s>","Listeria monocytogenes is an important foodborne pathogen responsible for the disease listeriosis, and can be found throughout the environment, in many foods and in food processing facilities. The main cause of listeriosis is consumption of food contaminated from sources in food processing environments. Persistence in food processing facilities has previously been shown for the L. monocytogenes sequence type (ST) 8 subtype. In the current study, five ST8 strains were subjected to whole-genome sequencing and compared with five additionally available ST8 genomes, allowing comparison of strains from salmon, poultry and cheese industry, in addition to a human clinical isolate. Genome-wide analysis of single-nucleotide polymorphisms (SNPs) confirmed that almost identical strains were detected in a Danish salmon processing plant in 1996 and in a Norwegian salmon processing plant in 2001 and 2011. Furthermore, we show that L. monocytogenes ST8 was likely to have been transferred between two poultry processing plants as a result of relocation of processing equipment. The SNP data were used to infer the phylogeny of the ST8 strains, separating them into two main genetic groups. Within each group, the plasmid and prophage content was almost entirely conserved, but between groups, these sequences showed strong divergence. The accessory genome of the ST8 strains harbored genetic elements which could be involved in rendering the ST8 strains resilient to incoming mobile genetic elements. These included two restriction-modification loci, one of which was predicted to show phase variable recognition sequence specificity through site-specific domain shuffling. Analysis indicated that the ST8 strains harbor all important known L. monocytogenes virulence factors, and ST8 strains are commonly identified as the causative agents of invasive listeriosis. Therefore, the persistence of this L. monocytogenes subtype in food processing facilities poses a significant concern for food safety."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","The provided text does not contain any chemical substances or food items that are mentioned to be a food safety hazard, to contaminate that food or have the potential to pose risk for human health via consumption of that food. Therefore, the function identify_safety_hazards() returns an empty dictionary.</s>","Although public health risk assessments for Listeria monocytogenes (Lm) have been published for various foods, firm-level decision making on interventions targeting Lm involves considerations of both public health and enterprise risks. Smoked seafood is a ready-to-eat product with a high incidence of Lm contamination and has been associated with several recalls. We used cold-smoked salmon as a model product to develop a decision support tool (the regulatory and recall risk [3R] model) to estimate (i) baseline regulatory and recall (RR) risks (i. e. , overall risks of a lot sampled and found positive for Lm, e. g. , by food regulatory agencies) due to Lm contamination and (ii) the RR risk reduction that can be achieved through interventions with underlying mechanisms such as reducing the prevalence and/or level of Lm and retarding or preventing Lm growth. Given that a set number of samples (e. g. , 10) are tested for a given lot, the RR risk equals the likelihood of detecting Lm in at least one sample. Under the baseline scenario, which assumes a 4% Lm prevalence and no interventions, the median predicted RR risk for a given production lot was 0.333 (95% credible interval: 0.288, 0.384) when 10 25-g samples were tested. Nisin treatments, which reduce both the prevalence and initial level of Lm, reduced RR risks in a concentration-dependent manner to 0.109 (0.074, 0.146) with 5 ppm, 0.049 (0.024, 0.083) with 10 ppm, and 0.017 (0.007, 0.033) with 20 ppm. In general, more effective reduction in RR risks can be achieved by reducing Lm prevalence than by retarding Lm growth; the RR risk was reduced to 0.182 (0.153, 0.213) by a 50% prevalence reduction but to only 0.313 (0.268, 0.367) by bacteriostatic growth inhibitors. Sensitivity analysis indicated that prevalence and initial level of Lm and storage temperature have the greatest impact on predicting RR risks, suggesting that reliable data for these parameters will improve model performance."
"Chemicals: <chemicals you identified in the text between triple backticks>
            Foods: <foods you identified in the text between triple backticks>
            Dictionary: <dictionary storing food-chemical pairs where foods are keys and chemicals expressed to be hazardous, contaminant or have the potential to pose risk for human health via consumption of the food item are values>
            Chemicals: enniatin B
            Foods: fish feed, salmon, zebrafish
            Dictionary: {
                'fish feed': ['enniatin B'],
                'salmon': ['enniatin B'],
                'zebrafish': ['enniatin B']
            }</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","New protein sources in fish feed require the assessment of the carry-over potential of contaminants and anti-nutrients from feed ingredients into the fish, and the assessment of possible health risks for consumers. Presently, plant materials including wheat and legumes make up the largest part of aquafeeds, so evaluation of the transfer capabilities of typical toxic metabolites from plant-infesting fungi and of vegetable phytoestrogens into fish products is of great importance. With the aim of facilitating surveillance of relevant mycotoxins and isoflavones, we have developed and validated a multi-analyte LC-HRMS/MS method that can be used to ensure compliance to set maximum levels in feed and fish. The method performance characteristics were determined, showing high specificity for all 25 targeted analytes, which included 19 mycotoxins and three isoflavones and their corresponding aglycons with sufficient to excellent sensitivities and uniform analytical linearity in different matrices. Depending on the availability of matching stable isotope-labelled derivates or similar-structure homologues, calibration curves were generated either by using internal standards or by matrix-matched external standards. Precision and recovery data were in the accepted range, although they varied between the different analytes. This new method was considered as fit-for-purpose and applied for the analysis of customised fish feed containing wheat gluten, soy, or pea protein concentrate as well as salmon and zebrafish fed on diets with these ingredients for a period of up to eight weeks. Only mycotoxin enniatin B, at a level near the limit of detection, and low levels of isoflavones were detected in the feed, demonstrating the effectiveness of maximum level recommendations and modern feed processing technologies in the Norwegian aquaculture industry. Consequently, carry-over into fish muscle was not observed, confirming that fillets from plant-fed salmon were safe for human consumption."
"Chemicals: phenol, salt
            Foods: cooked salmon
            Dictionary: {
                ""phenol"": ""hazardous"",
                ""salt"": ""contaminant""
            }</s>","The provided text does not contain any information about chemical hazards in food or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","The objectives of this study were to examine and model the probability of growth of Listeria monocytogenes in cooked salmon containing salt and smoke (phenol) compound and stored at various temperatures. A growth probability model was developed, and the model was compared to a model developed from tryptic soy broth (TSB) to assess the possibility of using TSB as a substitute for salmon. A 6-strain mixture of L. monocytogenes was inoculated into minced cooked salmon and TSB containing 0-10% NaCl and 0-34 ppm phenol to levels of 10(2-3) cfu/g, and the samples were vacuum-packed and stored at 0--25 degrees C for up to 42 days. A total 32 treatments, each with 16 samples, selected by central composite designs were tested. A logistic regression was used to model the probability of growth of L. monocytogenes as a function of concentrations of salt and phenol, and storage temperature. Resulted models showed that the probabilities of growth of L. monocytogenes in both salmon and TSB decreased when the salt and/or phenol concentrations increased, and at lower storage temperatures. In general, the growth probabilities of L. monocytogenes were affected more profoundly by salt and storage temperature than by phenol. The growth probabilities of L. monocytogenes estimated by the TSB model were higher than those by the salmon model at the same salt/phenol concentrations and storage temperatures. The growth probabilities predicted by the salmon and TSB models were comparable at higher storage temperatures, indicating the potential use of TSB as a model system to substitute salmon in studying the growth behavior of L. monocytogenes may only be suitable when the temperatures of interest are in higher storage temperatures (e. g. , >12 degrees C). The model for salmon demonstrated the effects of salt, phenol, and storage temperature and their interactions on the growth probabilities of L. monocytogenes, and may be used to determine the growth probability of L. monocytogenes in smoked seafood."
"Chemicals: None
            Foods: E. coli O157:H7, beef chuck roast, ground beef, chicken breast, cooked chicken, salmon, cheese, cantaloupe, and romaine lettuce.
            Dictionary: {
                'beef chuck roast': ['E. coli O157:H7'],
                'ground beef': ['E. coli O157:H7'],
                'chicken breast': ['E. coli O157:H7'],
                'cooked chicken': ['E. coli O157:H7'],
                'salmon': ['E. coli O157:H7'],
                'cheese': ['E. coli O157:H7'],
                'cantaloupe': ['E. coli O157:H7'],
                'romaine lettuce': ['E. coli O157:H7']
            }</s>","{'beef chuck roast': ['E. coli O157:H7'], 'ground beef': ['E. coli O157:H7'], 'chicken breast': ['E. coli O157:H7'], 'cooked chicken': ['E. coli O157:H7'], 'salmon': ['E. coli O157:H7'], 'cheese': ['E. coli O157:H7'], 'cantaloupe': ['E. coli O157:H7'], 'romaine lettuce': ['E. coli O157:H7']}</s>","Management of Shiga toxin-producing Escherichia coli (STEC), including E. coli O157:H7, in food products is a major challenge for the food industry. Several interventions, such as irradiation, chemical disinfection, and pasteurization, have had variable success controlling STEC contamination. However, these interventions also indiscriminately kill beneficial bacteria in foods, may impact organoleptic properties of foods, and are not always environmentally friendly. Biocontrol using bacteriophage-based products to reduce or eliminate specific foodborne pathogens in food products has been gaining attention due to the specificity, safety, and environmentally friendly properties of lytic bacteriophages. We developed EcoShield PX, a cocktail of lytic bacteriophages, that specifically targets STEC. This study was conducted to examine the efficacy of this bacteriophage cocktail for reducing the levels of E. coli O157:H7 in eight food products: beef chuck roast, ground beef, chicken breast, cooked chicken, salmon, cheese, cantaloupe, and romaine lettuce. The food products were challenged with E. coli O157:H7 at ca. 3.0 log CFU/g and treated with the bacteriophage preparation at ca. 1 × 106, 5 × 106, or 1 × 107 PFU/g. Application of 5 × 106 and 1 × 107 PFU/g resulted in significant reductions (P < 0.05) in E. coli O157:H7 levels of up to 97% in all foods. When bacteriophages (ca. 1 × 106 PFU/g) were used to treat lower levels of E. coli O157:H7 (ca. 1 to 10 CFU/10 g) on beef chuck roast samples, mimicking the levels of STEC found under real-life conditions in food processing plants, the prevalence of STEC in the samples was significantly reduced (P < 0.05) by ≥80%. Our results suggest that this STEC-targeting bacteriophage preparation can result in significant reduction of both the levels and prevalence of STEC in various foods and, therefore, may help improve the safety and reduce the risk of recalls of foods at high risk for STEC contamination."
"Chemicals: None
            Foods: Salmon, Listeria monocytogenes
            Dictionary: {}</s>","The provided text does not mention any specific chemical substances or food items that are hazardous, contaminant, potentially risky or harmful for human health. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","Salmon is the food most frequently reported in the RASFF (Rapid Alert System for Food and Feed) database in conjunction with Listeria monocytogenes and consumption of cold-smoked salmon have led to severe outbreaks of listeriosis infections. UV-C and pulsed UV light were investigated for their ability to reduce L. monocytogenes on salmon. Cold-smoked and raw salmon were spiked with a mix of ten L. monocytogenes strains (104 CFU/sample) and subsequently exposed to UV-C light (0.0075–0.6 J/cm2) or high intensity pulsed UV light (1.3–10.8 J/cm2). Reductions of L. monocytogenes on smoked salmon were 0.7–1.3 log, depending on the fluence. Corresponding reductions for raw salmon muscle side and skin side were 0.2–0.9 log and 0.4–1.1 log, respectively. Generally, reductions using UV-C and pulsed UV light were within the same range, but with some treatments statistically different. L. monocytogenes surviving UV treatments on smoked and raw salmon grew at the same rate as controls during storage at 4 °C, but reached the levels of the controls 13 and 7 days later, respectively. No sensory changes were detected in UV-C treated (0.05 J/cm2) smoked salmon. Due to the lack of critical control points in salmon production, it is not possible to ensure products that are consistently free from L. monocytogenes in the absence of mitigation strategies. Taking into account the reported generally low levels of L. monocytogenes on contaminated salmon, UV treatments should be considered important tools for the industry to contribute to lower prevalence and levels of Listeria. The present work on microbial and quality effects of UV-C and pulsed UV light treatments performed under industry relevant conditions on raw and cold-smoked salmon provides important information to the salmon industry for implementation of UV-light as risk reducing mitigation tools. This has key relevance for industry and consumers and will contribute to enhanced food safety, reduction of costly recalls and longer shelf-life."
"Chemicals: tris(2-butoxyethyl) phosphate (TBOEP), tris(2-chloroethyl) phosphate (TCEP)
            Foods: juvenile Atlantic salmon liver and brain samples
            Dictionary: {
                'tris(2-butoxyethyl) phosphate (TBOEP)': {
                    'juvenile Atlantic salmon liver': ['glutathione peroxidase (GPx)', 'glutathione reductase (GR)', 'glutathione S-transferase (GST)'],
                    'juvenile Atlantic salmon brain': ['peroxisome proliferator-activated receptors (PPAR)']
                },
                'tris(2-chloroethyl) phosphate (TCEP)': {
                    'juvenile Atlantic salmon liver': ['glutathione peroxidase (GPx)', 'glutathione reductase (GR)', 'glutathione S-transferase (GST)'],
                    'juvenile Atlantic salmon brain': ['peroxisome proliferator-activated receptors (PPAR)']
                }
            }</s>","The provided text does not contain any information about chemical hazards or food safety hazards. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","There is limited knowledge on the toxicological, physiological, and molecular effects attributed to organophosphate (OP) compounds currently used as flame retardants or additives in consumer products. This study investigated the effects on oxidative stress and lipid peroxidation in juvenile Atlantic salmon liver and brain samples after exposure to two OP compounds, tris(2-butoxyethyl) phosphate (TBOEP) and tris(2-chloroethyl) phosphate (TCEP). In this study, groups of juvenile Atlantic salmon were exposed using a semistatic experimental protocol over a 7-d period to 3 different concentrations (0.04, 0.2, or 1 mg/L) of TBOEP and TCEP. When toxicological factors such as bioaccumulation and bioconcentration, and chemical structural characteristics and behavior, including absorption to solid materials, are considered, these concentrations represent environmentally relevant concentrations. The concentrations of the contaminants were derived from levels of their environmental occurrence. The expression of genes related to oxidative stress-glutathione peroxidase (GPx), glutathione reductase (GR), glutathione S-transferase (GST)-and to lipid peroxidation-peroxisome proliferator-activated receptors (PPAR)-were determined using quantitative (real-time) polymerase chain reaction (PCR). The presence of PPAR proteins was also investigated using immunochemical methods. Levels of thiobarbituric acid-reactive substances (TBARS) in liver were used as a measure of lipid peroxidation. Overall, our data show an increase in lipid peroxidation, and this was associated with an augmented expression of genes from the glutathione family of responses. Interestingly, PPAR expression in liver after exposure to TBOEP and TCEP was consistently decreased compared to controls, while expression in brain did not show a similar trend. The results suggest that OP contaminants may induce oxidative stress and thus production of reactive oxygen substances (ROS), and modulate lipid peroxidation processes in organisms."
"Chemicals: Peroxyacetic acid (PAA)
Foods: Atlantic salmon parr
Dictionary: {
    ""Atlantic salmon parr"": {
        ""0.0"": [],
        ""0.05"": [],
        ""0.1"": [],
        ""0.2"": [],
        ""0.4"": [],
        ""0.8"": [],
        ""1.6"": [""gill histopathological alterations"", ""skin histopathological alterations""],
        ""3.2"": [""gill histopathological alterations"", ""skin histopathological alterations"", ""poorer skin condition"", ""necrotic gill lamella""],
        ""6.4"": [""gill histopathological alterations"", ""skin histopathological alterations"", ""poorer skin condition"", ""necrotic gill lamella"", ""skin acidic mucous cells density 55% lower"", ""erratic swimming behaviour with air gasping""]
    }
}</s>","The provided text does not contain any information about chemical substances or food items that could be identified as hazardous, contaminant, potentially risky or harmful for human health. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","There is a high regard for peracetic acid (PAA)-based disinfectants in recirculating aquaculture systems (RAS) because of the low risk of bioaccumulation, fast degradation with neutral residuals and minimal impact on biofilter performance. However, the no-observed-effect concentration in Atlantic salmon parr is unknown. The present study evaluated the effect of an acute PAA exposure on Atlantic salmon parr health and welfare by evaluating survival, swimming behaviour, appetite and histopathological alterations in the gills and skin. Nine experimental RAS units were employed, where each unit was dedicated for one PAA concentration (0.0, 0.05, 0.1, 0.2, 0.4, 0.8, 1.6, 3.2 and 6.4 mg/L). Fish were exposed to the target PAA concentration in a static system for 1 h and the exposure protocol was repeated after a 52 h recovery. The fish survival was 100%, 80% and 0%, respectively ≤1.6, 3.2 and 6.4 mg/L. Fish swimming behaviour was normal in PAA ≤ 1.6 mg/L, whereas it become erratic with air gasping for PAA ≥ 3.2 mg/L. The fish appetite did not change among the different PAA treatment groups. Skin and gill histopathological alterations were pronounced in PAA ≥ 3.2 mg/L, characterized by a poorer skin condition and necrotic gill lamella. The skin acidic mucous cells density was 55% lower in the 6.4 mg/L group than the 0 mg/L group. The sub-lethal water pH values observed in the 6.4 mg/L group after PAA administration may have played a confounding and compounding factor to the PAA toxicity response in this group. In conclusion, the current study identified the no-observed-effect concentration for PAA to be below 1.6 mg/L for Atlantic salmon parr and provided insights into its use as a water prophylactic strategy in RAS. Toxicity of PAA-based disinfectants is influenced by its acidified nature, which can interfere with the water pH of low alkalinity aquaculture systems. Further studies should evaluate the health and welfare consequences of a long-term PAA exposure in Atlantic salmon parr."
"Chemicals: None
            Foods: None
            Dictionary: None</s>","{'E. coli': ['PMA-qPCR', 'Sketa DNA', '2.32 Log10/10mL']}</s>","The detection and quantification of viable Escherichia coli cells in wastewater treatment plant effluent is very important as it is the main disinfection efficacy parameter for assessing its public health risk and environmental impact. The aim of this study was to develop a sensitive and false-positive free propidium monoazide-quantitative polymerase chain reaction (PMA-qPCR) assay to quantify the viable but non-culturable (VBNC) E. coli present in secondary wastewater effluent after chlorine disinfection. The qPCR target was the E. coli uidA gene, and native Taq was used to eliminate false positives caused by the presence of contaminant E. coli DNA in recombinant Taq polymerase reagents. Due to issues with qPCR inhibitors in wastewater, this study explored several pre-DNA extraction treatment methods for qPCR inhibitor removal. PMA-qPCR validation was done using salmon testes DNA (Sketa DNA) as an exogenous control added directly to the wastewater samples and amplified using a separate qPCR assay. After disinfection of secondary effluent with 2ppm chlorine at the plant, the mean Log10 CFU reduction in E. coli was 2.85 from a mean CFU of 3.48/10mL compared to 0.21 Log10 CCE mean reduction of the uidA gene from a mean CCE of 3.16/10mL. The VBNC cell concentrations were calculated as 2.32 Log10/10mL by subtracting the colony forming units (CFU) obtained from membrane filtration from the calculated CFU equivalent (CCE) values obtained from PMA-qPCR. These results demonstrate the effective use of a PMA-qPCR method for the quantification of the E. coli uidA gene and indicate there are high numbers (2.01×103CCE/100mL) of VBNC E. coli cells leaving the wastewater treatment plant in the final effluent after chlorine treatment. VBNC bacterial cells are of concern as they have the potential to resuscitate and grow, regain virulence, affect natural microbiome in the discharge sites, and pass on antimicrobial resistant genes to other microorganisms."
"Chemicals: None
            Foods: None
            Dictionary: None</s>",{'cold smoked and salt-cured salmon products': ['Listeria monocytogenes']}</s>,"Listeria monocytogenes causes severe consequences especially for persons belonging to risk groups. Finland is among the countries with highest number of listeriosis cases in the European Union. Although most reported cases appear to be sporadic and the maximum bacterial concentration of 100 cfu/g is not usually exceeded at retail, cold smoked and salt-cured fish products have been noted as those products with great risk especially for the elderly. In order to investigate the listeriosis risk more carefully, an exposure assessment was developed, and laboratory results for cold smoked and salt-cured salmon products were exploited. L. monocytogenes exposure was modeled for consumers in two age groups, the elderly population as a risk group and the working-age population as a reference. Incidence was assessed by estimating bacterial growth in the food products at three temperatures. Bayesian estimation of the risk was based on bacterial occurrence and product consumption data and epidemiological population data. The model builds on a two-state Markov chain describing repeated consumption on consecutive days. The cumulative exposure is probabilistically governed by the daily decreasing likelihood of continued consumption and the increasing bacterial concentrations due to growth. The population risk was then predicted with a Poisson distribution accounting for the daily probabilities of purchasing a contaminated product and the cumulative total probability of infection from its use. According to the model presented in this article, elderly Finns are at a greater risk of acquiring listeriosis than healthy adults. The risk for the elderly does not fully diminish even if the products have been stored at the recommended temperature (between 0 and 3 °C). It can be concluded that the stage after retail, i. e. food handling and storage by consumer or professional kitchens, is essential to protection against listeriosis. The estimation model provides means for assessing the joint impacts of these effects."
"Chemicals: Nisin, Listeria monocytogenes, Listeria innocua, spoilage organisms
Foods: Cold-smoked sockeye salmon (Oncorhynchus nerka) fillets
Dictionary: {
    'Cold-smoked sockeye salmon (Oncorhynchus nerka) fillets': {
        'nisin': 10,
        'Listeria monocytogenes': 0,
        'Listeria innocua': 2.63,
        'spoilage organisms': 0,
        'lightness': 0.001,
        'peelability': 0
    }
}</s>","{'Cold-smoked salmon (CSS)': ['Listeria monocytogenes', 'Listeria innocua']}</s>","Cold-smoked salmon (CSS) production lacks a validated kill step for Listeria monocytogenes. Although Listeria spp. are reduced by nisin or high-pressure processing (HPP), CSS muscle discoloration is often observed after HPP. Effects of nisin and low-temperature HPP on L. innocua survival (nonpathogenic surrogate for L. monocytogenes), spoilage organism growth, color, and sensory preference and peelability of CSS were studied. Cold-smoked sockeye salmon (Oncorhynchus nerka) fillets ± nisin (10 μg/g) were inoculated with a 3-strain L. innocua cocktail, vacuum-packaged, frozen at - 30 °C, and high-pressure processed in an ice slurry within an insulated sleeve. Initial experiments indicated that nisin and HPP for 120 s at 450 MPa (N450) and 600 MPa (N600) were most effective against L. innocua, and thus were selected for further storage studies. L. innocua in N450 and N600-treated CSS was reduced 2.63 ± 0.15 and 3.99 ± 0.34 Log CFU/g, respectively, immediately after HPP. L. innocua and spoilage growth were not observed in HPP-treated CSS during 36 d storage at 4 °C. Low-temperature HPP showed a smaller increase in lightness of CSS compared to ambient-temperature HPP performed in previous studies. Sensory evaluation indicated that overall liking of CSS treated with N450 and N600 were preferred over the control by 61% and 62% of panelists, respectively (P < 0.05). Peelability of sliced CSS was reduced by HPP (P < 0.05). Nisin in combination with low-temperature HPP was effective in controlling L. innocua in CSS while maintaining consumer acceptability. Cold-smoked salmon is a high-risk ready-to-eat product that may be contaminated with L. monocytogenes. Results showed that nisin combined with high-pressure processing at low temperature, reduced the population of Listeria and controlled the spoilage organisms during storage. As an added benefit, high-pressure processing at low temperature may reduce lightening of the salmon flesh, leading to enhanced consumer preference."
"Chemicals: Aroclor 1254, Aroclor 1260
            Foods: Chinook salmon muscle tissue
            Dictionary: {
                ""Aroclor 1254"": {
                    ""Puget Sound hatcheries"": 49.26,
                    ""Coastal hatcheries"": 17.41
                },
                ""Aroclor 1260"": {
                    ""Puget Sound hatcheries"": 16,
                    ""Coastal hatcheries"": 0
                }
            }</s>","The provided text does not mention any specific chemical substances or food items, so the function identify_safety_hazards() returns an empty dictionary.</s>","Identifying the source of polychlorinated biphenyls (PCBs) is the first step to eliminating contamination within anadromous salmonids and other aquatic species. We evaluated PCB concentrations in the muscle tissue of 4-year old Puget Sound and coastal hatchery Chinook salmon in an effortto identify potential locations where contamination occurs. Ten muscle samples were taken from each of two Puget Sound hatcheries and two coastal hatcheries in Washington State to determine PCB concentrations. Two technical mixtures of PCBs, Aroclor 1254 and Aroclor 1260, were measured in the tissue samples collected. Aroclor 1254 was detected in all samples, while Aroclor 1260 was detected in 16 of 40 samples. Generalized linear modeling (GLM) was used to evaluate the influence of region (Puget Sound and coast), hatchery, sex, fish length, and percent lipids on PCB concentrations. Twenty different GLMs representing multiple null hypotheses were ranked using Akaike Information Criterion (AIC). Six of the 20 models evaluated had substantial support for being the best model to describe PCB concentrations in Chinook salmon. The six models with substantial support were region and lipids; region; hatchery and lipid; region and sex; region, sex, and lipids; and region and length. Region appears to be the most influential variable explaining the variation in PCB concentrations in Chinook salmon in the Pacific Northwest. PCB concentrations in Chinook salmon muscle tissue from Puget Sound hatcheries were significantly greater (mean 49.26 microg/kg wet weight and standard deviation 40.55 microg/kg) than those from coastal hatcheries (mean 17.41 microg/kg wet weight and standard deviation 6.8 microg/kg). Our results suggest that some contamination likely occurs in the Pacific Ocean. However, a larger source likely exists within Puget Sound or along the migratory route of Puget Sound Chinook salmon. The observation of PCBs in Chinook salmon also has important implications for human health and salmon carcass supplementation."
"Chemicals: arsenic, arsenic compounds
Foods: rice, seafood, dark meat fish, white wine, beer, Brussels sprouts, beans/lentils, cooked oatmeal
Dictionary: {
    'rice': 'arsenic',
    'seafood': 'arsenic',
    'dark meat fish': 'arsenic',
    'white wine': 'arsenic',
    'beer': 'arsenic',
    'Brussels sprouts': 'arsenic',
    'beans/lentils': 'arsenic',
    'cooked oatmeal': 'arsenic'
}</s>","The provided text does not contain any chemical items mentioned to be a food safety hazard, to contaminate food or have the potential to pose risk for human health via consumption of food. Therefore, the function identify_safety_hazards() will return an empty dictionary.</s>","Limited data exist on the contribution of dietary sources of arsenic to an individual's total exposure, particularly in populations with exposure via drinking water. Here, the association between diet and toenail arsenic concentrations (a long-term biomarker of exposure) was evaluated for individuals with measured household tap water arsenic. Foods known to be high in arsenic, including rice and seafood, were of particular interest. Associations between toenail arsenic and consumption of 120 individual diet items were quantified using general linear models that also accounted for household tap water arsenic and potentially confounding factors (e. g. , age, caloric intake, sex, smoking) (n = 852). As part of the analysis, we assessed whether associations between log-transformed toenail arsenic and each diet item differed between subjects with household drinking water arsenic concentrations <1 μg/L versus ≥1 μg/L. As expected, toenail arsenic concentrations increased with household water arsenic concentrations. Among the foods known to be high in arsenic, no clear relationship between toenail arsenic and rice consumption was detected, but there was a positive association with consumption of dark meat fish, a category that includes tuna steaks, mackerel, salmon, sardines, bluefish, and swordfish. Positive associations between toenail arsenic and consumption of white wine, beer, and Brussels sprouts were also observed; these and most other associations were not modified by exposure via water. However, consumption of two foods cooked in water, beans/lentils and cooked oatmeal, was more strongly related to toenail arsenic among those with arsenic-containing drinking water (≥1 μg/L). This study suggests that diet can be an important contributor to total arsenic exposure in U. S. populations regardless of arsenic concentrations in drinking water. Thus, dietary exposure to arsenic in the US warrants consideration as a potential health risk."
"Chemicals: None
Foods: Cold smoked salmon (CSS)
Dictionary: None</s>","{'Salmon': ['Lactate', 'Diacetate']}</s>","The relatively high incidence of Listeria monocytogenes in cold smoked salmon (CSS) is of concern as CSS is a ready-to-eat product. No post-processing measures are currently available to control this pathogen in CSS. The objective of this study was to develop an effective antimicrobial edible coating containing organic salts to control the growth of L. monocytogenes in CSS slices and fillets. An in-house made formulation consisting of sodium lactate (SL, 0-2.4%) and sodium diacetate (SD, 0-0.25%) as well as 2.5% OptiForm (a commercial formulation of SL and SD) were incorporated into five edible coatings: alginate, kappa-carrageenan, pectin, gelatin or starch. The coatings were applied onto the surface of CSS slices inoculated with L. monocytogenes to an inoculum level of 500 CFU/cm(2) ( approximately 3 log CFU/g) and stored at room temperature (22 degrees C) for 6 days. Alginate coating was found to be the most effective carrier for the various antimicrobial treatments in inhibiting the growth of L. monocytogenes. In the second phase of the study, CSS slices and fillets inoculated with the pathogen at a level of 500 CFU/cm(2) were coated with alginate incorporating the in-house made and the commercial (OptiForm) SL/SD based formulations and stored for 30 days at 4 degrees C. When cold-smoked salmon slices and fillets were stored at 4 degrees C, alginate coatings supplemented with 2.4%SL/0.25%SD and the commercial product OptiForm significantly delayed the growth of L. monocytogenes during the 30-day storage with final counts reaching 4.1 and 3.3 log CFU/g (slices) and 4.4 and 3.8 log CFU/g (fillets), respectively, while the counts in their untreated counterparts were significantly higher (P<0.05) reaching 7.3 and 6.8 log CFU/g for slices and fillets, respectively. Therefore, this study demonstrates the effectiveness of using an alginate-based coating containing lactate and diacetate to control the growth of L. monocytogenes to enhance the microbiological safety of filleted and sliced smoked salmon."
"Chemicals: [['mercury', 'methylmercury'], ['mercury', 'total mercury'], ['mercury', 'isotopically distinct mercury']]
            Foods: [['aquatic insect larvae', 'seston'], ['aquatic insect larvae', 'adult aquatic insects'], ['aquatic insect larvae', 'riparian spiders'], ['fish', 'bull trout'], ['riparian spiders', 'fish']]
            Dictionary: {
                'aquatic insect larvae': {
                    'seston': ['mercury', 'total mercury'],
                    'adult aquatic insects': ['mercury', 'methylmercury'],
                    'riparian spiders': ['mercury', 'isotopically distinct mercury']
                },
                'fish': {
                    'bull trout': ['mercury', 'methylmercury'],
                    'riparian spiders': ['mercury', 'isotopically distinct mercury']
                }
            }</s>",{'Salmon River': ['Mercury']}</s>,"Historical mining left a legacy of abandoned mines and waste rock in remote headwaters of major river systems in the western United States. Understanding the influence of these legacy mines on culturally and ecologically important downstream ecosystems is not always straightforward because of elevated natural levels of mineralization in mining-impacted watersheds. To test the ecological effects of historic mining in the headwaters of the upper Salmon River watershed in Idaho (USA), we measured multiple community and chemical endpoints in downstream linked aquatic-terrestrial food webs. Mining inputs impacted downstream food webs through increased mercury accumulation and decreased insect biodiversity. Total mercury (THg) in seston, aquatic insect larvae, adult aquatic insects, riparian spiders, and fish at sites up to 7.6 km downstream of mining was found at much higher concentrations (1.3-11.3-fold) and was isotopically distinct compared with sites immediately upstream of mining inputs. Methylmercury concentrations in bull trout and riparian spiders were sufficiently high (732-918 and 347-1140 ng MeHg g-1 dry wt, respectively) to affect humans, birds, and piscivorous fish. Furthermore, the alpha-diversity of benthic insects was locally depressed by 12%-20% within 4.3-5.7 km downstream from the mine. However, because total insect biomass was not affected by mine inputs, the mass of mercury in benthic insects at a site (i. e. , ng Hg m-2 ) was extremely elevated downstream (10-1778-fold) compared with directly upstream of mining inputs. Downstream adult aquatic insect-mediated fluxes of THg were also high (~16 ng THg m-2 day-1 ). Abandoned mines can have ecologically important effects on downstream communities, including reduced biodiversity and increased mercury flux to higher order consumers, including fish, birds, and humans. Environ Toxicol Chem 2022;41:1696-1710. Published 2022. This article is a U. S. Government work and is in the public domain in the USA."
